"estudiante_id","nombre","apellido","genero","curso_nivel","curso_paralelo","curso_turno","materia_nombre","periodo_nombre","periodo_id","promedio_examenes","promedio_tareas","promedio_exposiciones","promedio_participaciones","porcentaje_asistencia","promedio_practicas","promedio_proyecto_final","promedio_trabajo_grupal","promedio_ensayos","promedio_cuestionarios","nota_final_real","edad","genero_masculino","turno_manana","promedio_notas_anterior","promedio_participacion","rendimiento_categoria","total_evaluaciones"
"1","Hugo","Medina","Masculino","Secundaria","A","Mañana","Desarrollo Personal y Social","Segundo Trimestre","1","0","76.14707964601769","80.76421052631576","51.09415254237289","51.293103448275865","0","80.97999999999999","83.5742105263158","64.4957894736842","52.80157894736843","65.45","5","1","1","39.22782254308336","51.09415254237289","Medio","497"
"1","Hugo","Medina","Masculino","Secundaria","A","Mañana","Desarrollo Personal y Social","Tercer Trimestre","2","0","74.24676923076926","77.37076923076923","47.484615384615395","58.46153846153846","0","77.07333333333334","79.74076923076922","70.0630769230769","56.48692307692307","65.39","5","1","1","37.90438461538462","47.484615384615395","Medio","292"
"1","Hugo","Medina","Masculino","Secundaria","A","Mañana","Desarrollo Personal y Social","Primer Trimestre","3","0","72.69861111111112","82.30285714285712","57.88499999999999","52.7027027027027","0","75.08","85.92999999999999","64.32142857142857","66.5","67.89","5","1","1","38.750367063492064","57.88499999999999","Medio","166"
"1","Hugo","Medina","Masculino","Secundaria","A","Mañana","Comunicación Oral (en Lengua Castellana)","Segundo Trimestre","1","0","76.94681818181817","79.99249999999999","48.07136363636364","49.54545454545455","0","82.388","81.74874999999999","70.114375","40.119375","63.77","5","1","1","39.234829545454545","48.07136363636364","Medio","461"
"1","Hugo","Medina","Masculino","Secundaria","A","Mañana","Comunicación Oral (en Lengua Castellana)","Tercer Trimestre","2","0","71.06370967741935","79.52399999999999","50.76483870967743","44.354838709677416","0","86.41499999999999","74.478","59.342999999999996","51.263999999999996","62.53","5","1","1","37.64692741935484","50.76483870967743","Medio","264"
"1","Hugo","Medina","Masculino","Secundaria","A","Mañana","Comunicación Oral (en Lengua Castellana)","Primer Trimestre","3","0","74.04818181818179","94.4975","51.88515151515152","54.54545454545455","0","84.895","85.20249999999999","55.5775","71.905","69.06","5","1","1","42.136420454545444","51.88515151515152","Medio","136"
"1","Hugo","Medina","Masculino","Secundaria","A","Mañana","Lenguaje Artístico y Corporal","Segundo Trimestre","1","0","73.6206363636364","81.8775","49.02618181818185","52.27272727272727","0","77.73","80.7475","64.26687500000001","43.580625000000005","63.34","5","1","1","38.874534090909094","49.02618181818185","Medio","461"
"1","Hugo","Medina","Masculino","Secundaria","A","Mañana","Lenguaje Artístico y Corporal","Tercer Trimestre","2","0","72.45032258064518","78.38199999999999","49.055483870967734","47.58064516129032","0","78.245","78.318","72.038","38.708999999999996","62.25","5","1","1","37.70808064516129","49.055483870967734","Medio","264"
"1","Hugo","Medina","Masculino","Secundaria","A","Mañana","Lenguaje Artístico y Corporal","Primer Trimestre","3","0","76.67484848484851","80.345","47.20181818181818","45.45454545454545","0","64.45","84.6125","49.265","54.375","60.65","5","1","1","39.25496212121213","47.20181818181818","Medio","136"
"1","Hugo","Medina","Masculino","Secundaria","A","Mañana","Exploración del Entorno","Segundo Trimestre","1","0","75.7786363636364","83.769375","50.276090909090925","49.09090909090909","0","79.33000000000001","76.695","68.31875","46.3575","64.03","5","1","1","39.8870028409091","50.276090909090925","Medio","461"
